========================================================================================================================
  魔法金属方块清单 - 用于手动校对匹配
  格式: 序号 | MMM注册名 | 元数据 | 中文名
   1038  |  manametalmod:wood_sapling_NetherBlue    |      0  |  诡异菌
   1039  |                                          |         |  
   1040  |                                          |         |  
   1041  |  manametalmod:DritNylium2                |      0  |  诡异菌岩
   1042  |  manametalmod:FlowersMC                  |      0  |  诡异菌索
   1043  |                                          |         |  
   1044  |  manametalmod:wood_log_NetherBlue        |      0  |  诡异菌柄
   1045  |                                          |         |  
   1046  |                                          |         |  
   1047  |  manametalmod:wood_leave_NetherBlue      |      0  |  诡异疣块
   1048  |  minecraft:cauldron                      |      3  |  炼药锅
   1049  |                                          |         |  
   1050  |  manametalmod:copperblock_wax            |      0  |  上蜡铜块
   1051  |                                          |         |  
   1052  |                                          |         |  
   1053  |  manametalmod:copperblock_wax            |      4  |  上蜡切制铜块
   1054  |                                          |         |  
   1055  |  manametalmod:copperblock_wax            |      1  |  上蜡斑驳铜块
   1056  |                                          |         |  
   1057  |                                          |         |  
   1058  |  manametalmod:copperblock_wax            |      5  |  上蜡斑驳切制铜块
   1059  |                                          |         |  
   1060  |  manametalmod:copperblock_wax            |      3  |  上蜡氧化铜块
   1061  |                                          |         |  
   1062  |                                          |         |  
   1063  |  manametalmod:copperblock_wax            |      7  |  上蜡氧化切制铜块
   1064  |                                          |         |  
   1065  |  manametalmod:copperblock_wax            |      2  |  上蜡风化铜块
   1066  |                                          |         |  
   1067  |                                          |         |  
   1068  |  manametalmod:copperblock_wax            |      6  |  上蜡风化切制铜块
   1069  |                                          |         |  
   1070  |  manametalmod:copperblock                |      2  |  风化铜块
   1071  |                                          |         |  
   1072  |                                          |         |  
   1073  |  manametalmod:copperblock                |      6  |  风化切制铜块
   1074  |  manametalmod:BlockVineRed               |      0  |  垂泪藤
   1075  |  manametalmod:BlockVineRed               |      1  |  垂泪藤
   1076  |  minecraft:bed                           |      0  |  床
   1077  |  manametalmod:BlockCandles               |      0  |  白色蜡烛
   1078  |                                          |         |  
   1079  |                                          |         |  
   1080  |                                          |         |  
   1081  |  minecraft:skull                         |      1  |  凋灵骷髅头颅
   1082  |  minecraft:skull                         |      1  |  凋灵骷髅头颅
   1083  |  manametalmod:Bed_Yellow                 |      0  |  黄色床
   1084  |  manametalmod:BlockCandles               |      4  |  黄色蜡烛
   1085  |                                          |         |  
   1086  |                                          |         |  
   1087  |                                          |         |  

   ===== 第二部分: 额外 =====
   1088  |  manametalmod:BlockChain1                |      2  |  铁锁链
   1089  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1090  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1091  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1092  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1093  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1094  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1095  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1096  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1097  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1098  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1099  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1100  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1101  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1102  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1103  |  manametalmod:BlockFlagStanding          |      0  |  旗帜
   1104  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1105  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1106  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1107  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1108  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1109  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1110  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1111  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1112  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1113  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1114  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1115  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1116  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1117  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1118  |  manametalmod:BlockFlagWall              |      3  |  旗帜
   1119  |  manametalmod:BlockFlagWall              |      3  |  旗帜
