========================================================================================================================
  原版方块清单 - 导入文件转换前的方块信息
  格式: 序号 | 方块状态 | 元数据 | 中文名
    792  |  minecraft:dead_horn_coral_block                          |  0      |  失活的鹿角珊瑚块
    793  |  minecraft:dead_horn_coral_fan                            |  0      |  失活的鹿角珊瑚扇
    794  |  minecraft:dead_horn_coral_wall_fan                       |  0      |  墙上的失活鹿角珊瑚扇
    795  |  minecraft:dead_tube_coral                                |  0      |  失活的管珊瑚
    796  |  minecraft:dead_tube_coral_block                          |  0      |  失活的管珊瑚块
    797  |  minecraft:dead_tube_coral_fan                            |  0      |  失活的管珊瑚扇
    798  |  minecraft:dead_tube_coral_wall_fan                       |  0      |  墙上的失活管珊瑚扇
    799  |  minecraft:decorated_pot                                  |  0      |  饰纹陶罐
    800  |  minecraft:deepslate                                      |  0      |  深板岩
    801  |  minecraft:deepslate_tiles                                |  0      |  深板岩瓦
    802  |  minecraft:diamond_block                                  |  0      |  钻石块
    803  |  minecraft:dirt_path                                      |  0      |  土径
    804  |  minecraft:dragon_egg                                     |  0      |  龙蛋
    805  |  minecraft:dragon_head                                    |  0      |  龙首
    806  |  minecraft:dragon_wall_head                               |  0      |  墙上的龙首
    807  |  minecraft:dripstone_block                                |  0      |  滴水石块
    808  |  minecraft:emerald_block                                  |  0      |  绿宝石块
    809  |  minecraft:end_gateway                                    |  0      |  末地折跃门
    810  |  minecraft:end_portal                                     |  0      |  末地传送门
    811  |  minecraft:end_portal_frame                               |  0      |  末地传送门框架
    812  |  minecraft:end_rod                                        |  0      |  末地烛
    813  |  minecraft:exposed_chiseled_copper                        |  0      |  斑驳的雕纹铜块
    814  |  minecraft:exposed_copper                                 |  0      |  斑驳的铜块
    815  |  minecraft:exposed_copper_bulb                            |  0      |  斑驳的铜灯
    816  |  minecraft:exposed_copper_grate                           |  0      |  斑驳的铜格栅
    817  |  minecraft:exposed_cut_copper                             |  0      |  斑驳的切制铜块
    818  |  minecraft:fire                                           |  0      |  火
    819  |  minecraft:fire_coral                                     |  0      |  火珊瑚
    820  |  minecraft:fire_coral_block                               |  0      |  火珊瑚块
    821  |  minecraft:fire_coral_fan                                 |  0      |  火珊瑚扇
    822  |  minecraft:fire_coral_wall_fan                            |  0      |  墙上的火珊瑚扇
    823  |  minecraft:firefly_bush                                   |  0      |  萤火虫灌木丛
    824  |  minecraft:flower_pot                                     |  0      |  花盆
    825  |  minecraft:flowering_azalea                               |  0      |  盛开的杜鹃花丛
    826  |  minecraft:frogspawn                                      |  0      |  青蛙卵
    827  |  minecraft:frosted_ice                                    |  0      |  霜冰
    828  |  minecraft:gilded_blackstone                              |  0      |  镶金黑石
    829  |  minecraft:glow_lichen                                    |  0      |  发光地衣
    830  |  minecraft:gold_block                                     |  0      |  金块
    831  |  minecraft:gray_bed                                       |  0      |  灰色床
    832  |  minecraft:gray_candle                                    |  0      |  灰色蜡烛
    833  |  minecraft:gray_candle_cake                               |  0      |  插上灰色蜡烛的蛋糕
    834  |  minecraft:green_bed                                      |  0      |  绿色床
    835  |  minecraft:green_candle                                   |  0      |  绿色蜡烛
    836  |  minecraft:green_candle_cake                              |  0      |  插上绿色蜡烛的蛋糕
    837  |  minecraft:hanging_roots                                  |  0      |  垂根
    838  |  minecraft:hay_block                                      |  0      |  干草捆
    839  |  minecraft:heavy_core                                     |  0      |  沉重核心
    840  |  minecraft:honey_block                                    |  0      |  蜂蜜块
    841  |  minecraft:honeycomb_block                                |  0      |  蜜脾块
    842  |  minecraft:horn_coral                                     |  0      |  鹿角珊瑚
    843  |  minecraft:horn_coral_block                               |  0      |  鹿角珊瑚块
    844  |  minecraft:horn_coral_fan                                 |  0      |  鹿角珊瑚扇
    845  |  minecraft:horn_coral_wall_fan                            |  0      |  墙上的鹿角珊瑚扇
    846  |  minecraft:infested_cobblestone                           |  0      |  虫蚀圆石
    847  |  minecraft:infested_deepslate                             |  0      |  虫蚀深板岩
    848  |  minecraft:infested_stone                                 |  0      |  虫蚀石头
    849  |  minecraft:iron_block                                     |  0      |  铁块
    850  |  minecraft:jack_o_lantern                                 |  0      |  南瓜灯
    851  |  minecraft:jigsaw                                         |  0      |  拼图方块
    852  |  minecraft:jungle_hanging_sign                            |  0      |  悬挂式丛林木告示牌
    853  |  minecraft:jungle_sign                                    |  0      |  丛林木告示牌
    854  |  minecraft:jungle_wall_hanging_sign                       |  0      |  墙上的悬挂式丛林木告示牌
    855  |  minecraft:jungle_wall_sign                               |  0      |  墙上的丛林木告示牌
    856  |  minecraft:kelp_plant                                     |  0      |  海带植株
    857  |  minecraft:lapis_block                                    |  0      |  青金石块
    858  |  minecraft:large_amethyst_bud                             |  0      |  大型紫晶芽
    859  |  minecraft:lava_cauldron                                  |  0      |  装有熔岩的炼药锅
    860  |  minecraft:leaf_litter                                    |  0      |  枯叶
    861  |  minecraft:light                                          |  0      |  光源方块
    862  |  minecraft:light_blue_bed                                 |  0      |  淡蓝色床
    863  |  minecraft:light_blue_candle                              |  0      |  淡蓝色蜡烛
    864  |  minecraft:light_blue_candle_cake                         |  0      |  插上淡蓝色蜡烛的蛋糕
    865  |  minecraft:light_gray_bed                                 |  0      |  淡灰色床
    866  |  minecraft:light_gray_candle                              |  0      |  淡灰色蜡烛
    867  |  minecraft:light_gray_candle_cake                         |  0      |  插上淡灰色蜡烛的蛋糕
    868  |  minecraft:lightning_rod                                  |  0      |  避雷针
    869  |  minecraft:lily_of_the_valley                             |  0      |  铃兰
    870  |  minecraft:lime_bed                                       |  0      |  黄绿色床
    871  |  minecraft:lime_candle                                    |  0      |  黄绿色蜡烛
    872  |  minecraft:lime_candle_cake                               |  0      |  插上黄绿色蜡烛的蛋糕
    873  |  minecraft:lodestone                                      |  0      |  磁石
    874  |  minecraft:magenta_bed                                    |  0      |  品红色床
    875  |  minecraft:magenta_candle                                 |  0      |  品红色蜡烛
    876  |  minecraft:magenta_candle_cake                            |  0      |  插上品红色蜡烛的蛋糕
    877  |  minecraft:mangrove_hanging_sign                          |  0      |  悬挂式红树木告示牌
    878  |  minecraft:mangrove_propagule                             |  0      |  红树胎生苗
    879  |  minecraft:mangrove_roots                                 |  0      |  红树根
    880  |  minecraft:mangrove_sign                                  |  0      |  红树木告示牌
    881  |  minecraft:mangrove_wall_hanging_sign                     |  0      |  墙上的悬挂式红树木告示牌
    882  |  minecraft:mangrove_wall_sign                             |  0      |  墙上的红树木告示牌
    883  |  minecraft:medium_amethyst_bud                            |  0      |  中型紫晶芽
    884  |  minecraft:moss_block                                     |  0      |  苔藓块
    885  |  minecraft:mossy_cobblestone                              |  0      |  苔石
    886  |  minecraft:moving_piston                                  |  0      |  移动的活塞
    887  |  minecraft:mud                                            |  0      |  泥巴
    888  |  minecraft:muddy_mangrove_roots                           |  0      |  沾泥的红树根
    889  |  minecraft:mushroom_stem                                  |  0      |  蘑菇柄
    890  |  minecraft:nether_portal                                  |  0      |  下界传送门
    891  |  minecraft:nether_sprouts                                 |  0      |  下界苗
    892  |  minecraft:nether_wart_block                              |  0      |  下界疣块
    893  |  minecraft:netherite_block                                |  0      |  下界合金块
    894  |  minecraft:netherrack                                     |  0      |  下界岩
    895  |  minecraft:oak_hanging_sign                               |  0      |  悬挂式橡木告示牌
    896  |  minecraft:oak_sign                                       |  0      |  橡木告示牌
    897  |  minecraft:oak_wall_hanging_sign                          |  0      |  墙上的悬挂式橡木告示牌
    898  |  minecraft:oak_wall_sign                                  |  0      |  墙上的橡木告示牌
    899  |  minecraft:ochre_froglight                                |  0      |  赭黄蛙明灯
    900  |  minecraft:open_eyeblossom                                |  0      |  张开的眼眸花
    901  |  minecraft:orange_bed                                     |  0      |  橙色床
    902  |  minecraft:orange_candle                                  |  0      |  橙色蜡烛
    903  |  minecraft:orange_candle_cake                             |  0      |  插上橙色蜡烛的蛋糕
    904  |  minecraft:oxidized_chiseled_copper                       |  0      |  氧化的雕纹铜块
    905  |  minecraft:oxidized_copper                                |  0      |  氧化的铜块
    906  |  minecraft:oxidized_copper_bulb                           |  0      |  氧化的铜灯
    907  |  minecraft:oxidized_copper_grate                          |  0      |  氧化的铜格栅
    908  |  minecraft:oxidized_cut_copper                            |  0      |  氧化的切制铜块
    909  |  minecraft:packed_mud                                     |  0      |  泥坯
    910  |  minecraft:pale_hanging_moss                              |  0      |  苍白垂须
    911  |  minecraft:pale_moss_block                                |  0      |  苍白苔藓块
    912  |  minecraft:pale_oak_hanging_sign                          |  0      |  悬挂式苍白橡木告示牌
    913  |  minecraft:pale_oak_sign                                  |  0      |  苍白橡木告示牌
    914  |  minecraft:pale_oak_wall_hanging_sign                     |  0      |  墙上的悬挂式苍白橡木告示牌
    915  |  minecraft:pale_oak_wall_sign                             |  0      |  墙上的苍白橡木告示牌
    916  |  minecraft:pearlescent_froglight                          |  0      |  珠光蛙明灯
    917  |  minecraft:piglin_head                                    |  0      |  猪灵的头
    918  |  minecraft:piglin_wall_head                               |  0      |  墙上的猪灵的头
    919  |  minecraft:pink_bed                                       |  0      |  粉红色床
    920  |  minecraft:pink_candle                                    |  0      |  粉红色蜡烛
    921  |  minecraft:pink_candle_cake                               |  0      |  插上粉红色蜡烛的蛋糕
    922  |  minecraft:pink_petals                                    |  0      |  粉红色花簇
    923  |  minecraft:piston_head                                    |  0      |  活塞头
    924  |  minecraft:pitcher_crop                                   |  0      |  瓶子草植株
    925  |  minecraft:pitcher_plant                                  |  0      |  瓶子草
    926  |  minecraft:player_head                                    |  0      |  玩家的头
    927  |  minecraft:player_head.named                              |  0      |  %s的头
    928  |  minecraft:player_wall_head                               |  0      |  墙上的玩家的头
    929  |  minecraft:pointed_dripstone                              |  0      |  滴水石锥
    930  |  minecraft:potted_allium                                  |  0      |  绒球葱盆栽
    931  |  minecraft:potted_azalea_bush                             |  0      |  杜鹃花丛盆栽
    932  |  minecraft:potted_azure_bluet                             |  0      |  蓝花美耳草盆栽
    933  |  minecraft:potted_bamboo                                  |  0      |  竹子盆栽
    934  |  minecraft:potted_blue_orchid                             |  0      |  兰花盆栽
    935  |  minecraft:potted_brown_mushroom                          |  0      |  棕色蘑菇盆栽
    936  |  minecraft:potted_cactus                                  |  0      |  仙人掌盆栽
    937  |  minecraft:potted_closed_eyeblossom                       |  0      |  闭合的眼眸花盆栽
    938  |  minecraft:potted_cornflower                              |  0      |  矢车菊盆栽
    939  |  minecraft:potted_crimson_fungus                          |  0      |  绯红菌盆栽
    940  |  minecraft:potted_crimson_roots                           |  0      |  绯红菌索盆栽
    941  |  minecraft:potted_dandelion                               |  0      |  蒲公英盆栽
    942  |  minecraft:potted_dead_bush                               |  0      |  枯萎的灌木盆栽
    943  |  minecraft:potted_fern                                    |  0      |  蕨盆栽
    944  |  minecraft:potted_flowering_azalea_bush                   |  0      |  盛开的杜鹃花丛盆栽
    945  |  minecraft:potted_lily_of_the_valley                      |  0      |  铃兰盆栽
    946  |  minecraft:potted_mangrove_propagule                      |  0      |  红树胎生苗盆栽
    947  |  minecraft:potted_open_eyeblossom                         |  0      |  张开的眼眸花盆栽
    948  |  minecraft:potted_orange_tulip                            |  0      |  橙色郁金香盆栽
    949  |  minecraft:potted_oxeye_daisy                             |  0      |  滨菊盆栽
    950  |  minecraft:potted_pink_tulip                              |  0      |  粉红色郁金香盆栽
    951  |  minecraft:potted_poppy                                   |  0      |  虞美人盆栽
    952  |  minecraft:potted_red_mushroom                            |  0      |  红色蘑菇盆栽
    953  |  minecraft:potted_red_tulip                               |  0      |  红色郁金香盆栽
    954  |  minecraft:potted_torchflower                             |  0      |  火把花盆栽
    955  |  minecraft:potted_warped_fungus                           |  0      |  诡异菌盆栽
    956  |  minecraft:potted_warped_roots                            |  0      |  诡异菌索盆栽
    957  |  minecraft:potted_white_tulip                             |  0      |  白色郁金香盆栽
    958  |  minecraft:potted_wither_rose                             |  0      |  凋灵玫瑰盆栽
    959  |  minecraft:powder_snow                                    |  0      |  细雪
    960  |  minecraft:powder_snow_cauldron                           |  0      |  装有细雪的炼药锅
    961  |  minecraft:purple_bed                                     |  0      |  紫色床
    962  |  minecraft:purple_candle                                  |  0      |  紫色蜡烛
    963  |  minecraft:purple_candle_cake                             |  0      |  插上紫色蜡烛的蛋糕
    964  |  minecraft:raw_copper_block                               |  0      |  粗铜块
    965  |  minecraft:raw_gold_block                                 |  0      |  粗金块
    966  |  minecraft:raw_iron_block                                 |  0      |  粗铁块
    967  |  minecraft:red_bed                                        |  0      |  红色床
    968  |  minecraft:red_candle                                     |  0      |  红色蜡烛
    969  |  minecraft:red_candle_cake                                |  0      |  插上红色蜡烛的蛋糕
    970  |  minecraft:red_mushroom_block                             |  0      |  红色蘑菇方块
    971  |  minecraft:redstone_block                                 |  0      |  红石块
    972  |  minecraft:redstone_wall_torch                            |  0      |  墙上的红石火把
    973  |  minecraft:reinforced_deepslate                           |  0      |  强化深板岩
    974  |  minecraft:repeating_command_block                        |  0      |  循环型命令方块
    975  |  minecraft:resin_block                                    |  0      |  树脂块
    976  |  minecraft:resin_clump                                    |  0      |  树脂团
    977  |  minecraft:respawn_anchor                                 |  0      |  重生锚
    978  |  minecraft:rooted_dirt                                    |  0      |  缠根泥土
    979  |  minecraft:sculk                                          |  0      |  幽匿块
    980  |  minecraft:sculk_catalyst                                 |  0      |  幽匿催发体
    981  |  minecraft:sculk_sensor                                   |  0      |  幽匿感测体
    982  |  minecraft:sculk_shrieker                                 |  0      |  幽匿尖啸体
    983  |  minecraft:sculk_vein                                     |  0      |  幽匿脉络
    984  |  minecraft:seagrass                                       |  0      |  海草
    985  |  minecraft:set_spawn                                      |  0      |  已设置重生点
    986  |  minecraft:short_dry_grass                                |  0      |  矮枯草丛
    987  |  minecraft:short_grass                                    |  0      |  矮草丛
    988  |  minecraft:shroomlight                                    |  0      |  菌光体
    989  |  minecraft:skeleton_skull                                 |  0      |  骷髅头颅
    990  |  minecraft:skeleton_wall_skull                            |  0      |  墙上的骷髅头颅
    991  |  minecraft:slime_block                                    |  0      |  黏液块
    992  |  minecraft:small_amethyst_bud                             |  0      |  小型紫晶芽
    993  |  minecraft:small_dripleaf                                 |  0      |  小型垂滴叶
    994  |  minecraft:smooth_basalt                                  |  0      |  平滑玄武岩
    995  |  minecraft:sniffer_egg                                    |  0      |  嗅探兽蛋
    996  |  minecraft:soul_fire                                      |  0      |  灵魂火
    997  |  minecraft:soul_wall_torch                                |  0      |  墙上的灵魂火把
    998  |  minecraft:spawn.not_valid                                |  0      |  你的床或已充能的重生锚不存在或已被阻挡
    999  |  minecraft:spawner                                        |  0      |  刷怪笼
   1000  |  minecraft:spawner.desc1                                  |  0      |  用刷怪蛋交互时：
   1001  |  minecraft:spawner.desc2                                  |  0      |  设置生物种类
   1002  |  minecraft:spore_blossom                                  |  0      |  孢子花
   1003  |  minecraft:spruce_hanging_sign                            |  0      |  悬挂式云杉木告示牌
   1004  |  minecraft:spruce_sign                                    |  0      |  云杉木告示牌
   1005  |  minecraft:spruce_wall_hanging_sign                       |  0      |  墙上的悬挂式云杉木告示牌
   1006  |  minecraft:spruce_wall_sign                               |  0      |  墙上的云杉木告示牌
   1007  |  minecraft:stripped_bamboo_block                          |  0      |  去皮竹块
   1008  |  minecraft:stripped_crimson_hyphae                        |  0      |  去皮绯红菌核
   1009  |  minecraft:stripped_crimson_stem                          |  0      |  去皮绯红菌柄
   1010  |  minecraft:stripped_warped_hyphae                         |  0      |  去皮诡异菌核
   1011  |  minecraft:stripped_warped_stem                           |  0      |  去皮诡异菌柄
   1012  |  minecraft:structure_block                                |  0      |  结构方块
   1013  |  minecraft:structure_void                                 |  0      |  结构空位
   1014  |  minecraft:suspicious_gravel                              |  0      |  可疑的沙砾
   1015  |  minecraft:suspicious_sand                                |  0      |  可疑的沙子
   1016  |  minecraft:tall_dry_grass                                 |  0      |  高枯草丛
   1017  |  minecraft:tall_seagrass                                  |  0      |  高海草
   1018  |  minecraft:test_block                                     |  0      |  测试方块
   1019  |  minecraft:test_instance_block                            |  0      |  测试实例方块
   1020  |  minecraft:tinted_glass                                   |  0      |  遮光玻璃
   1021  |  minecraft:tnt                                            |  0      |  TNT
   1022  |  minecraft:tnt.disabled                                   |  0      |  TNT爆炸已禁用
   1023  |  minecraft:torchflower                                    |  0      |  火把花
   1024  |  minecraft:torchflower_crop                               |  0      |  火把花植株
   1025  |  minecraft:trial_spawner                                  |  0      |  试炼刷怪笼
   1026  |  minecraft:tube_coral                                     |  0      |  管珊瑚
   1027  |  minecraft:tube_coral_block                               |  0      |  管珊瑚块
   1028  |  minecraft:tube_coral_fan                                 |  0      |  管珊瑚扇
   1029  |  minecraft:tube_coral_wall_fan                            |  0      |  墙上的管珊瑚扇
   1030  |  minecraft:tuff                                           |  0      |  凝灰岩
   1031  |  minecraft:turtle_egg                                     |  0      |  海龟蛋
   1032  |  minecraft:twisting_vines                                 |  0      |  缠怨藤
   1033  |  minecraft:twisting_vines_plant                           |  0      |  缠怨藤植株
   1034  |  minecraft:vault                                          |  0      |  宝库
   1035  |  minecraft:verdant_froglight                              |  0      |  青翠蛙明灯
   1036  |  minecraft:void_air                                       |  0      |  虚空空气
   1037  |  minecraft:wall_torch                                     |  0      |  墙上的火把
   1038  |  minecraft:warped_fungus                                  |  0      |  诡异菌
   1039  |  minecraft:warped_hanging_sign                            |  0      |  悬挂式诡异木告示牌
   1040  |  minecraft:warped_hyphae                                  |  0      |  诡异菌核
   1041  |  minecraft:warped_nylium                                  |  0      |  诡异菌岩
   1042  |  minecraft:warped_roots                                   |  0      |  诡异菌索
   1043  |  minecraft:warped_sign                                    |  0      |  诡异木告示牌
   1044  |  minecraft:warped_stem                                    |  0      |  诡异菌柄
   1045  |  minecraft:warped_wall_hanging_sign                       |  0      |  墙上的悬挂式诡异木告示牌
   1046  |  minecraft:warped_wall_sign                               |  0      |  墙上的诡异木告示牌
   1047  |  minecraft:warped_wart_block                              |  0      |  诡异疣块
   1048  |  minecraft:water_cauldron                                 |  0      |  装有水的炼药锅
   1049  |  minecraft:waxed_chiseled_copper                          |  0      |  涂蜡的雕纹铜块
   1050  |  minecraft:waxed_copper_block                             |  0      |  涂蜡的铜块
   1051  |  minecraft:waxed_copper_bulb                              |  0      |  涂蜡的铜灯
   1052  |  minecraft:waxed_copper_grate                             |  0      |  涂蜡的铜格栅
   1053  |  minecraft:waxed_cut_copper                               |  0      |  涂蜡的切制铜块
   1054  |  minecraft:waxed_exposed_chiseled_copper                  |  0      |  涂蜡的斑驳雕纹铜块
   1055  |  minecraft:waxed_exposed_copper                           |  0      |  涂蜡的斑驳铜块
   1056  |  minecraft:waxed_exposed_copper_bulb                      |  0      |  涂蜡的斑驳铜灯
   1057  |  minecraft:waxed_exposed_copper_grate                     |  0      |  涂蜡的斑驳铜格栅
   1058  |  minecraft:waxed_exposed_cut_copper                       |  0      |  涂蜡的斑驳切制铜块
   1059  |  minecraft:waxed_oxidized_chiseled_copper                 |  0      |  涂蜡的氧化雕纹铜块
   1060  |  minecraft:waxed_oxidized_copper                          |  0      |  涂蜡的氧化铜块
   1061  |  minecraft:waxed_oxidized_copper_bulb                     |  0      |  涂蜡的氧化铜灯
   1062  |  minecraft:waxed_oxidized_copper_grate                    |  0      |  涂蜡的氧化铜格栅
   1063  |  minecraft:waxed_oxidized_cut_copper                      |  0      |  涂蜡的氧化切制铜块
   1064  |  minecraft:waxed_weathered_chiseled_copper                |  0      |  涂蜡的锈蚀雕纹铜块
   1065  |  minecraft:waxed_weathered_copper                         |  0      |  涂蜡的锈蚀铜块
   1066  |  minecraft:waxed_weathered_copper_bulb                    |  0      |  涂蜡的锈蚀铜灯
   1067  |  minecraft:waxed_weathered_copper_grate                   |  0      |  涂蜡的锈蚀铜格栅
   1068  |  minecraft:waxed_weathered_cut_copper                     |  0      |  涂蜡的锈蚀切制铜块
   1069  |  minecraft:weathered_chiseled_copper                      |  0      |  锈蚀的雕纹铜块
   1070  |  minecraft:weathered_copper                               |  0      |  锈蚀的铜块
   1071  |  minecraft:weathered_copper_bulb                          |  0      |  锈蚀的铜灯
   1072  |  minecraft:weathered_copper_grate                         |  0      |  锈蚀的铜格栅
   1073  |  minecraft:weathered_cut_copper                           |  0      |  锈蚀的切制铜块
   1074  |  minecraft:weeping_vines                                  |  0      |  垂泪藤
   1075  |  minecraft:weeping_vines_plant                            |  0      |  垂泪藤植株
   1076  |  minecraft:white_bed                                      |  0      |  白色床
   1077  |  minecraft:white_candle                                   |  0      |  白色蜡烛
   1078  |  minecraft:white_candle_cake                              |  0      |  插上白色蜡烛的蛋糕
   1079  |  minecraft:wildflowers                                    |  0      |  野花簇
   1080  |  minecraft:wither_rose                                    |  0      |  凋灵玫瑰
   1081  |  minecraft:wither_skeleton_skull                          |  0      |  凋灵骷髅头颅
   1082  |  minecraft:wither_skeleton_wall_skull                     |  0      |  墙上的凋灵骷髅头颅
   1083  |  minecraft:yellow_bed                                     |  0      |  黄色床
   1084  |  minecraft:yellow_candle                                  |  0      |  黄色蜡烛
   1085  |  minecraft:yellow_candle_cake                             |  0      |  插上黄色蜡烛的蛋糕
   1086  |  minecraft:zombie_head                                    |  0      |  僵尸的头
   1087  |  minecraft:zombie_wall_head                               |  0      |  墙上的僵尸的头

   ===== 第二部分: 额外 =====
   1088  |  minecraft:chain                                          |  0      |  锁链
   1089  |  minecraft:orange_banner                                  |  1      |  橙色旗帜
   1090  |  minecraft:magenta_banner                                 |  2      |  品红色旗帜
   1091  |  minecraft:light_blue_banner                              |  3      |  淡蓝色旗帜
   1092  |  minecraft:yellow_banner                                  |  4      |  黄色旗帜
   1093  |  minecraft:lime_banner                                    |  5      |  黄绿色旗帜
   1094  |  minecraft:pink_banner                                    |  6      |  粉红色旗帜
   1095  |  minecraft:gray_banner                                    |  7      |  灰色旗帜
   1096  |  minecraft:light_gray_banner                              |  8      |  淡灰色旗帜
   1097  |  minecraft:cyan_banner                                    |  9      |  青色旗帜
   1098  |  minecraft:purple_banner                                  |  10     |  紫色旗帜
   1099  |  minecraft:blue_banner                                    |  11     |  蓝色旗帜
   1100  |  minecraft:brown_banner                                   |  12     |  棕色旗帜
   1101  |  minecraft:green_banner                                   |  13     |  绿色旗帜
   1102  |  minecraft:red_banner                                     |  14     |  红色旗帜
   1103  |  minecraft:black_banner                                   |  15     |  黑色旗帜
   1104  |  minecraft:whtie_wall_banner                              |  0      |  墙上的白色旗帜
   1105  |  minecraft:orange_wall_banner                             |  1      |  墙上的橙色旗帜
   1106  |  minecraft:magenta_wall_banner                            |  2      |  墙上的品红色旗帜
   1107  |  minecraft:light_blue_wall_banner                         |  3      |  墙上的淡蓝色旗帜
   1108  |  minecraft:yellow_wall_banner                             |  4      |  墙上的黄色旗帜
   1109  |  minecraft:lime_wall_banner                               |  5      |  墙上的黄绿色旗帜
   1110  |  minecraft:pink_wall_banner                               |  6      |  墙上的粉红色旗帜
   1111  |  minecraft:gray_wall_banner                               |  7      |  墙上的灰色旗帜
   1112  |  minecraft:light_gray_wall_banner                         |  8      |  墙上的淡灰色旗帜
   1113  |  minecraft:cyan_wall_banner                               |  9      |  墙上的青色旗帜
   1114  |  minecraft:purple_wall_banner                             |  10     |  墙上的紫色旗帜
   1115  |  minecraft:blue_wall_banner                               |  11     |  墙上的蓝色旗帜
   1116  |  minecraft:brown_wall_banner                              |  12     |  墙上的棕色旗帜
   1117  |  minecraft:green_wall_banner                              |  13     |  墙上的绿色旗帜
   1118  |  minecraft:red_wall_banner                                |  14     |  墙上的红色旗帜
   1119  |  minecraft:black_wall_banner                              |  15     |  墙上的黑色旗帜
